output_feature,source_feature,source_table,extract_table_alias,is_output_renamed
18m_used_lmt_second_der_min,18m_used_lmt_second_der_min,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,t17,False
6m_used_lmt_first_der_min,6m_used_lmt_first_der_min,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,t17,False
6m_used_lmt_second_der_min,6m_used_lmt_second_der_min,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,t17,False
12m_used_lmt_second_der_sum,12m_used_lmt_second_der_sum,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,t17,False
6m_used_lmt_first_der_sum,6m_used_lmt_first_der_sum,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,t17,False
12m_used_lmt_second_der_mean_diff,12m_used_lmt_second_der_mean_diff,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,t17,False
6m_used_lmt_second_der_sum,6m_used_lmt_second_der_sum,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,t17,False
18m_used_lmt_first_der_sum,18m_used_lmt_first_der_sum,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,t17,False
6m_used_lmt_first_der_max,6m_used_lmt_first_der_max,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,t17,False
3m_used_lmt_second_der_sum,3m_used_lmt_second_der_sum,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,t17,False
avg_avl_lmt_lft_rep_prc_3m_cash_1m,avg_avl_lmt_lft_rep_prc_3m_cash_1m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_df_feature,t18,False
min_rsk_avl_lmt_3m_bt_ch,min_rsk_avl_lmt_3m_bt_ch,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_df_feature,t18,False
rsk_lmt_rate_ch_1m_grt_0p9_cnt_6m,rsk_lmt_rate_ch_1m_grt_0p9_cnt_6m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_df_feature,t18,False
min_rsk_lmt_rate_12m_bt_ch,min_rsk_lmt_rate_12m_bt_ch,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_df_feature,t18,False
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_16draw_repay_crossed_new_df_feature,t19,False
ddf_36m_rep_dte_neg_5_crt_dt_rep_prc_amt_rto,ddf_36m_rep_dte_neg_5_crt_dt_rep_prc_amt_rto,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_16draw_repay_crossed_new_df_feature,t19,False
